thr,flagged,tp,fp,tn,fn,precision,recall,f1,missed,mae_onset,mae_recovery,skill_onset,skill_recovery,taskB,penalty_total,penalty_share_of_onset_err,mean3,score_20_80,score_30_70,score_40_60,score_50_50,score_60_40,score_70_30,score_80_20
0.14,0.8196666666666667,951,1508,442,99,0.3867425782838552,0.9057142857142857,0.5420347677400968,99,5.053404029521114,5.433354330815808,0.3363701944839407,0.0,0.16818509724197034,2970.0,0.5597358556821109,0.2928016540746792,0.24295503134159566,0.2803399983914083,0.317724965441221,0.3551099324910336,0.3924948995408462,0.42987986659065885,0.46726483364047156
0.15,0.7783333333333333,927,1408,542,123,0.3970021413276231,0.8828571428571429,0.5477104874446086,123,5.647660034820639,6.044705238773093,0.25833052163770565,0.0,0.12916526081885282,3690.0,0.6222551804850843,0.26868033636077143,0.212874306144004,0.25472882880657954,0.29658335146915515,0.3384378741317307,0.3802923967943063,0.4221469194568818,0.4640014421194575
0.16,0.7393333333333333,907,1311,639,143,0.40892696122633004,0.8638095238095238,0.5550795593635252,143,6.129852970977284,6.571483427486587,0.19500734332592184,0.0,0.09750367166296092,4290.0,0.666527289489441,0.250028967563149,0.18901884920307377,0.2347764379731302,0.2805340267431866,0.32629161551324304,0.37204920428329946,0.41780679305335583,0.46356438182341236
0.17,0.6983333333333334,878,1217,733,172,0.41909307875894986,0.8361904761904762,0.5583465818759936,172,6.821520929268915,7.3367524910136614,0.10417520919192047,0.0,0.052087604595960235,5160.0,0.72040909428279,0.22084059702263803,0.15333940005196692,0.20396529777997024,0.2545911955079736,0.3052170932359769,0.35584299096398025,0.4064688886919836,0.45709478641998696
0.18,0.6543333333333333,849,1114,836,201,0.4325012735608762,0.8085714285714286,0.5635579156986393,201,7.497285216514501,8.083122143678578,0.015431597974674305,0.0,0.007715798987337152,6030.0,0.7659915525432026,0.1929965045577712,0.1188842223295976,0.1744684340007278,0.23005264567185804,0.28563685734298827,0.34122106901411847,0.3968052806852487,0.45238949235637893
0.19,0.6116666666666667,821,1014,936,229,0.4474114441416894,0.7819047619047619,0.5691507798960138,229,8.190734087096521,8.796111470318813,0.0,0.0,0.0,6870.0,0.7988120568050913,0.1897169266320046,0.11383015597920276,0.17074523396880414,0.22766031195840553,0.2845753899480069,0.3414904679376083,0.39840554592720967,0.45532062391681105
0.2,0.575,796,929,1021,254,0.46144927536231883,0.758095238095238,0.5736936936936937,254,8.789760147533759,9.439384019517314,0.0,0.0,0.0,7620.0,0.8256360509654037,0.19123123123123123,0.11473873873873874,0.17210810810810812,0.2294774774774775,0.28684684684684686,0.34421621621621623,0.4015855855855856,0.458954954954955
0.21,0.546,777,861,1089,273,0.47435897435897434,0.74,0.578125,273,9.243133818181333,9.924849024650669,0.0,0.0,0.0,8190.0,0.8438696391755495,0.19270833333333334,0.115625,0.1734375,0.23125,0.2890625,0.346875,0.4046875,0.4625
0.22,0.5096666666666667,759,770,1180,291,0.49640287769784175,0.7228571428571429,0.5886002326483134,291,9.677618537047216,10.378871469260957,0.0,0.0,0.0,8730.0,0.8591251744897278,0.1962000775494378,0.11772004652966268,0.176580069794494,0.23544009305932537,0.2943001163241567,0.353160139588988,0.41202016285381937,0.47088018611865073
0.23,0.47433333333333333,734,689,1261,316,0.5158116654954322,0.699047619047619,0.5936109987868986,316,10.286065989570936,11.024824714621916,0.0,0.0,0.0,9480.0,0.8777477645705869,0.1978703329289662,0.11872219975737973,0.1780832996360696,0.23744439951475946,0.2968054993934493,0.3561665992721392,0.415527699150829,0.4748887990295189
0.24,0.447,712,629,1321,338,0.5309470544369873,0.6780952380952381,0.5955667084901715,338,10.827905380911544,11.593849513360041,0.0,0.0,0.0,10140.0,0.8918754382696569,0.1985222361633905,0.1191133416980343,0.17867001254705142,0.2382266833960686,0.29778335424508573,0.35734002509410284,0.41689669594312,0.4764533667921372
0.25,0.41833333333333333,695,560,1390,355,0.5537848605577689,0.6619047619047619,0.6030368763557483,355,11.248741508075208,12.035106930806482,0.0,0.0,0.0,10650.0,0.9016881697900004,0.20101229211858276,0.12060737527114967,0.18091106290672448,0.24121475054229935,0.30151843817787416,0.36182212581344897,0.4221258134490238,0.4824295010845987
0.26,0.39666666666666667,681,509,1441,369,0.5722689075630252,0.6485714285714286,0.6080357142857142,369,11.581465753975376,12.407111373645037,0.0,0.0,0.0,11070.0,0.9103214883865866,0.2026785714285714,0.12160714285714286,0.18241071428571426,0.24321428571428572,0.3040178571428571,0.3648214285714285,0.4256249999999999,0.48642857142857143
0.27,0.36966666666666664,659,450,1500,391,0.5942290351668169,0.6276190476190476,0.6104678091709125,391,12.122686880397776,12.973372705454544,0.0,0.0,0.0,11730.0,0.9215307366795576,0.20348926972363748,0.1220935618341825,0.18314034275127375,0.244187123668365,0.30523390458545624,0.3662806855025475,0.4273274664196387,0.48837424733673
0.28,0.3473333333333333,645,397,1553,405,0.6190019193857965,0.6142857142857143,0.6166347992351816,405,12.472827438584565,13.325200007535685,0.0,0.0,0.0,12150.0,0.9277309919026437,0.20554493307839386,0.12332695984703633,0.1849904397705545,0.24665391969407266,0.3083173996175908,0.369980879541109,0.4316443594646271,0.4933078393881453
0.29,0.32966666666666666,625,364,1586,425,0.6319514661274014,0.5952380952380952,0.6130456105934281,425,12.962437761359805,13.842251331424299,0.0,0.0,0.0,12750.0,0.936772647738701,0.20434853686447604,0.12260912211868563,0.18391368317802842,0.24521824423737126,0.30652280529671405,0.36782736635605684,0.4291319274153996,0.4904364884747425
0.3,0.31166666666666665,608,327,1623,442,0.6502673796791444,0.579047619047619,0.6125944584382871,442,13.356375938701282,14.290075638360799,0.0,0.0,0.0,13260.0,0.9455088331243376,0.20419815281276235,0.12251889168765742,0.18377833753148612,0.24503778337531484,0.30629722921914354,0.36755667506297224,0.42881612090680093,0.4900755667506297
0.31,0.2956666666666667,599,288,1662,451,0.6753100338218715,0.5704761904761905,0.6184821889519876,451,13.572258484852476,14.52038830921191,0.0,0.0,0.0,13530.0,0.9494156260062083,0.20616072965066254,0.12369643779039752,0.18554465668559628,0.24739287558079504,0.3092410944759938,0.37108931337119255,0.4329375322663913,0.49478575116159007
0.32,0.2803333333333333,591,250,1700,459,0.7027348394768134,0.5628571428571428,0.6250661025912216,459,13.772218793459487,14.725903937035211,0.0,0.0,0.0,13770.0,0.9522275176541467,0.2083553675304072,0.12501322051824434,0.18751983077736648,0.2500264410364887,0.3125330512956108,0.37503966155473295,0.43754627181385514,0.5000528820729774
0.33,0.26966666666666667,580,229,1721,470,0.7169344870210136,0.5523809523809524,0.6239913932221623,470,14.033002445552508,15.00308875251439,0.0,0.0,0.0,14100.0,0.9569278905689463,0.20799713107405413,0.12479827864443248,0.1871974179666487,0.24959655728886496,0.3119956966110812,0.3743948359332974,0.4367939752555136,0.4991931145777299
0.34,0.25933333333333336,572,206,1744,478,0.7352185089974294,0.5447619047619048,0.62582056892779,478,14.239574588502554,15.205073723902355,0.0,0.0,0.0,14340.0,0.9590976733370974,0.20860685630926334,0.125164113785558,0.18774617067833702,0.250328227571116,0.312910284463895,0.37549234135667403,0.438074398249453,0.500656455142232
0.35,0.249,567,180,1770,483,0.7590361445783133,0.54,0.6310517529215358,483,14.364050941991682,15.327165197292908,0.0,0.0,0.0,14490.0,0.9607317640218928,0.2103505843071786,0.12621035058430716,0.18931552587646075,0.2524207011686143,0.3155258764607679,0.3786310517529215,0.44173622704507504,0.5048414023372286
0.36,0.24066666666666667,561,161,1789,489,0.7770083102493075,0.5342857142857143,0.6331828442437923,489,14.49807465350963,15.487520577780478,0.0,0.0,0.0,14670.0,0.9636747571889782,0.2110609480812641,0.12663656884875849,0.18995485327313769,0.25327313769751697,0.31659142212189617,0.37990970654627537,0.44322799097065463,0.5065462753950339
0.37,0.23433333333333334,555,148,1802,495,0.7894736842105263,0.5285714285714286,0.6332002281802623,495,14.649639327741848,15.645738556443902,0.0,0.0,0.0,14850.0,0.9654065077271206,0.2110667427267541,0.12664004563605247,0.1899600684540787,0.25328009127210493,0.31660011409013117,0.3799201369081574,0.4432401597261836,0.5065601825442099
0.38,0.22566666666666665,548,129,1821,502,0.8094534711964549,0.5219047619047619,0.6346265199768385,502,14.81826674152676,15.823737245057401,0.0,0.0,0.0,15060.0,0.9679173275146055,0.21154217332561284,0.1269253039953677,0.19038795599305156,0.2538506079907354,0.31731325998841925,0.3807759119861031,0.4442385639837869,0.5077012159814708
0.39,0.221,542,121,1829,508,0.8174962292609351,0.5161904761904762,0.6328079392877992,508,14.977964518721036,15.980475415637581,0.0,0.0,0.0,15240.0,0.9690426022938052,0.21093597976259973,0.12656158785755986,0.18984238178633975,0.2531231757151197,0.3164039696438996,0.3796847635726795,0.44296555750145944,0.5062463514302394
0.4,0.21633333333333332,538,111,1839,512,0.8289676425269645,0.5123809523809524,0.633313713949382,512,15.078227289659445,16.086515898497602,0.0,0.0,0.0,15360.0,0.9701784664437053,0.21110457131646065,0.1266627427898764,0.18999411418481457,0.2533254855797528,0.316656856974691,0.37998822836962914,0.44331959976456736,0.5066509711595056
0.41,0.21,532,98,1852,518,0.8444444444444444,0.5066666666666667,0.6333333333333333,518,15.220760689213192,16.241635100553125,0.0,0.0,0.0,15540.0,0.9723561326661301,0.2111111111111111,0.12666666666666668,0.18999999999999997,0.25333333333333335,0.31666666666666665,0.37999999999999995,0.4433333333333333,0.5066666666666667
